# started_at=2025-12-14T19:04:55+03:00
# cmd: sar -b 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM       tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
07:05:59 PM     21.00      0.00     21.00      0.00      0.00    304.00      0.00
07:06:00 PM     43.00      0.00     43.00      0.00      0.00    544.00      0.00
07:06:01 PM     32.00      0.00     32.00      0.00      0.00    416.00      0.00
07:06:02 PM    144.00      0.00    144.00      0.00      0.00   1488.00      0.00
07:06:03 PM    317.00    157.00    160.00      0.00  29872.00   2280.00      0.00
07:06:04 PM     77.00     16.00     61.00      0.00   1776.00    728.00      0.00
07:06:05 PM     83.00      0.00     83.00      0.00      0.00    928.00      0.00
07:06:06 PM     79.00      0.00     79.00      0.00      0.00    984.00      0.00
07:06:07 PM    369.00      0.00    369.00      0.00      0.00   4152.00      0.00
07:06:08 PM    104.00      0.00    104.00      0.00      0.00   1232.00      0.00
07:06:09 PM    149.00      3.00    146.00      0.00    520.00   2880.00      0.00
07:06:10 PM    291.00      1.00    290.00      0.00     96.00   4120.00      0.00
07:06:11 PM    189.00      0.00    189.00      0.00      0.00   2576.00      0.00
07:06:12 PM    631.00      1.00    630.00      0.00      8.00  24888.00      0.00
07:06:13 PM    258.00      1.00    257.00      0.00      8.00   3112.00      0.00
07:06:14 PM     90.00      0.00     90.00      0.00      0.00   1176.00      0.00
07:06:15 PM    146.00      0.00    146.00      0.00      0.00  25000.00      0.00
07:06:16 PM     82.00      0.00     82.00      0.00      0.00    888.00      0.00
07:06:17 PM    127.00      0.00    127.00      0.00      0.00   1640.00      0.00
07:06:18 PM    177.00      0.00    177.00      0.00      0.00   1896.00      0.00
07:06:19 PM     26.00      0.00     26.00      0.00      0.00    360.00      0.00
07:06:20 PM     83.00      0.00     83.00      0.00      0.00   1008.00      0.00
07:06:21 PM     41.00      0.00     41.00      0.00      0.00    480.00      0.00
07:06:22 PM    402.00      0.00    402.00      0.00      0.00  26344.00      0.00
07:06:23 PM     94.00      0.00     94.00      0.00      0.00   1120.00      0.00
07:06:24 PM    106.00      0.00    106.00      0.00      0.00   1424.00      0.00
07:06:25 PM    134.00     24.00    110.00      0.00   1560.00   1424.00      0.00
07:06:26 PM     91.00     24.00     67.00      0.00   2808.00    904.00      0.00
07:06:27 PM    419.00     36.00    383.00      0.00    800.00  16816.00      0.00
07:06:28 PM    532.00      0.00    532.00      0.00      0.00   6456.00      0.00
07:06:29 PM     99.00      0.00     99.00      0.00      0.00   1112.00      0.00
07:06:30 PM     65.00      0.00     65.00      0.00      0.00    776.00      0.00
07:06:31 PM     97.00      1.00     96.00      0.00     40.00   1256.00      0.00
07:06:32 PM     90.00      1.00     89.00      0.00      8.00   5000.00      0.00
07:06:33 PM    238.00      0.00    238.00      0.00      0.00   2456.00      0.00
07:06:34 PM     96.00      0.00     96.00      0.00      0.00   1032.00      0.00
07:06:35 PM     74.00      1.00     73.00      0.00    256.00   1016.00      0.00
07:06:36 PM    107.00      0.00    107.00      0.00      0.00   1256.00      0.00
07:06:37 PM     99.00      0.00     99.00      0.00      0.00   5376.00      0.00
07:06:38 PM    196.00      0.00    196.00      0.00      0.00   2096.00      0.00
07:06:39 PM    114.00      0.00    114.00      0.00      0.00   1288.00      0.00
07:06:40 PM     95.00      1.00     94.00      0.00    168.00   1024.00      0.00
07:06:41 PM     54.00      0.00     54.00      0.00      0.00    760.00      0.00
07:06:42 PM    122.00      0.00    122.00      0.00      0.00   1320.00      0.00
07:06:43 PM    310.00      0.00    310.00      0.00      0.00  15760.00      0.00
07:06:44 PM     76.00      0.00     76.00      0.00      0.00    840.00      0.00
07:06:45 PM    122.00      0.00    122.00      0.00      0.00   1424.00      0.00
07:06:46 PM    136.00      0.00    136.00      0.00      0.00   1728.00      0.00
07:06:47 PM    189.00      1.00    188.00      0.00    144.00  10928.00      0.00
07:06:48 PM     62.00      0.00     62.00      0.00      0.00    672.00      0.00
07:06:49 PM     90.00      0.00     90.00      0.00      0.00    912.00      0.00
07:06:50 PM    370.00      0.00    370.00      0.00      0.00   3912.00      0.00
07:06:51 PM    163.00      0.00    163.00      0.00      0.00   1896.00      0.00
07:06:52 PM   1112.00      0.00   1112.00      0.00      0.00  61448.00      0.00
07:06:53 PM     69.00      0.00     69.00      0.00      0.00    800.00      0.00
07:06:54 PM     60.00      0.00     60.00      0.00      0.00    736.00      0.00
07:06:55 PM     57.00      0.00     57.00      0.00      0.00    728.00      0.00
07:06:56 PM     78.00      0.00     78.00      0.00      0.00    920.00      0.00
07:06:57 PM    249.00      0.00    249.00      0.00      0.00   2648.00      0.00
07:06:58 PM     46.00      0.00     46.00      0.00      0.00    632.00      0.00
07:06:59 PM     52.00      0.00     52.00      0.00      0.00    608.00      0.00
07:07:00 PM     82.00      0.00     82.00      0.00      0.00   1024.00      0.00
07:07:01 PM     68.00      0.00     68.00      0.00      0.00    920.00      0.00
07:07:02 PM    225.00      0.00    225.00      0.00      0.00   2240.00      0.00
07:07:03 PM     66.00      0.00     66.00      0.00      0.00   1056.00      0.00
07:07:04 PM     49.00      0.00     49.00      0.00      0.00    720.00      0.00
07:07:05 PM     55.00      0.00     55.00      0.00      0.00    552.00      0.00
07:07:06 PM    118.00      0.00    118.00      0.00      0.00   1432.00      0.00
07:07:07 PM    443.00      0.00    443.00      0.00      0.00  18560.00      0.00
07:07:08 PM    106.00      1.00    105.00      0.00    248.00   1176.00      0.00
07:07:09 PM     95.00      0.00     95.00      0.00      0.00   1152.00      0.00
07:07:10 PM     70.00      0.00     70.00      0.00      0.00    872.00      0.00
07:07:11 PM    104.00      0.00    104.00      0.00      0.00   1128.00      0.00
07:07:12 PM    306.00      0.00    306.00      0.00      0.00  15552.00      0.00
07:07:13 PM     82.00      0.00     82.00      0.00      0.00   1008.00      0.00
07:07:14 PM     58.00      1.00     57.00      0.00     96.00    640.00      0.00
07:07:15 PM     89.00      0.00     89.00      0.00      0.00   1136.00      0.00
07:07:16 PM    104.00      0.00    104.00      0.00      0.00   1224.00      0.00
07:07:17 PM    109.00      0.00    109.00      0.00      0.00   1592.00      0.00
07:07:18 PM    260.00      0.00    260.00      0.00      0.00   2520.00      0.00
07:07:19 PM     59.00      0.00     59.00      0.00      0.00    640.00      0.00
07:07:20 PM     86.00      0.00     86.00      0.00      0.00    984.00      0.00
07:07:21 PM     98.00      0.00     98.00      0.00      0.00   1192.00      0.00
07:07:22 PM    680.00      0.00    680.00      0.00      0.00  43832.00      0.00
07:07:23 PM    292.00      0.00    292.00      0.00      0.00  11936.00      0.00
07:07:24 PM     87.13      0.00     87.13      0.00      0.00    942.57      0.00
07:07:25 PM    108.00      0.00    108.00      0.00      0.00   1192.00      0.00
07:07:26 PM    116.00      0.00    116.00      0.00      0.00   1336.00      0.00
07:07:27 PM     81.00      0.00     81.00      0.00      0.00   1360.00      0.00
07:07:28 PM    111.00      0.00    111.00      0.00      0.00   1200.00      0.00
07:07:29 PM    144.00      0.00    144.00      0.00      0.00   2040.00      0.00
07:07:30 PM    258.00      0.00    258.00      0.00      0.00   2640.00      0.00
07:07:31 PM     78.00      0.00     78.00      0.00      0.00    888.00      0.00
07:07:32 PM     58.00      0.00     58.00      0.00      0.00    680.00      0.00
07:07:33 PM     84.00      0.00     84.00      0.00      0.00   1024.00      0.00
07:07:34 PM    113.00      0.00    113.00      0.00      0.00   1240.00      0.00
07:07:35 PM    191.00      0.00    191.00      0.00      0.00   1864.00      0.00
07:07:36 PM     92.00      1.00     91.00      0.00     88.00   1264.00      0.00
07:07:37 PM     55.00      0.00     55.00      0.00      0.00    760.00      0.00
07:07:38 PM    149.00      0.00    149.00      0.00      0.00  16080.00      0.00
07:07:39 PM     54.00      0.00     54.00      0.00      0.00    640.00      0.00
07:07:40 PM    221.00      0.00    221.00      0.00      0.00   2240.00      0.00
07:07:41 PM     88.00      0.00     88.00      0.00      0.00    944.00      0.00
07:07:42 PM    108.00      0.00    108.00      0.00      0.00   1392.00      0.00
07:07:43 PM    195.00      1.00    194.00      0.00    176.00  14640.00      0.00
07:07:44 PM     58.00      0.00     58.00      0.00      0.00    720.00      0.00
07:07:45 PM    103.00      0.00    103.00      0.00      0.00   1440.00      0.00
07:07:46 PM    201.00      0.00    201.00      0.00      0.00   2040.00      0.00
07:07:47 PM    119.00      0.00    119.00      0.00      0.00   1584.00      0.00
07:07:48 PM     91.00      0.00     91.00      0.00      0.00   1104.00      0.00
07:07:49 PM    103.00      0.00    103.00      0.00      0.00   1296.00      0.00
07:07:50 PM    133.00      0.00    133.00      0.00      0.00   1824.00      0.00
07:07:51 PM    277.00      0.00    277.00      0.00      0.00   3008.00      0.00
07:07:52 PM   1286.00      6.00   1280.00      0.00    888.00  70632.00      0.00
07:07:53 PM     72.00      0.00     72.00      0.00      0.00    904.00      0.00
07:07:54 PM     75.00      1.00     74.00      0.00    128.00   1000.00      0.00
07:07:55 PM     50.00      0.00     50.00      0.00      0.00    584.00      0.00
07:07:56 PM    108.00      0.00    108.00      0.00      0.00   1216.00      0.00
07:07:57 PM    232.00      0.00    232.00      0.00      0.00   2376.00      0.00
07:07:58 PM     57.00      0.00     57.00      0.00      0.00    720.00      0.00
07:07:59 PM     92.00      0.00     92.00      0.00      0.00   1008.00      0.00
07:08:00 PM     59.00      2.00     57.00      0.00    280.00    760.00      0.00
07:08:01 PM    138.00      0.00    138.00      0.00      0.00   1592.00      0.00
07:08:02 PM     73.00      1.00     72.00      0.00    168.00    824.00      0.00
07:08:03 PM     90.00      0.00     90.00      0.00      0.00    960.00      0.00
07:08:04 PM     72.00      0.00     72.00      0.00      0.00    752.00      0.00
07:08:05 PM     84.00      0.00     84.00      0.00      0.00    968.00      0.00
07:08:06 PM    103.00      0.00    103.00      0.00      0.00   1288.00      0.00
07:08:07 PM     91.00      0.00     91.00      0.00      0.00   1360.00      0.00
07:08:08 PM    320.00      0.00    320.00      0.00      0.00  17048.00      0.00
07:08:09 PM     75.00      0.00     75.00      0.00      0.00    880.00      0.00
07:08:10 PM     78.00      0.00     78.00      0.00      0.00   1144.00      0.00
07:08:11 PM    131.00      0.00    131.00      0.00      0.00   1640.00      0.00
07:08:12 PM     62.00      0.00     62.00      0.00      0.00    752.00      0.00
07:08:13 PM    375.00      0.00    375.00      0.00      0.00  16600.00      0.00
07:08:14 PM     62.00      0.00     62.00      0.00      0.00    904.00      0.00
07:08:15 PM     78.00      0.00     78.00      0.00      0.00    944.00      0.00
07:08:16 PM    104.00      0.00    104.00      0.00      0.00   1064.00      0.00
07:08:17 PM    122.00      0.00    122.00      0.00      0.00   1312.00      0.00
07:08:18 PM    432.00      0.00    432.00      0.00      0.00  27456.00      0.00
07:08:19 PM    216.00      0.00    216.00      0.00      0.00   2168.00      0.00
07:08:20 PM     88.00      0.00     88.00      0.00      0.00   1072.00      0.00
07:08:21 PM    102.00      0.00    102.00      0.00      0.00   1192.00      0.00
07:08:22 PM     62.00      0.00     62.00      0.00      0.00    840.00      0.00
07:08:23 PM    559.00      1.00    558.00      0.00    256.00  23664.00      0.00
07:08:24 PM    244.00      0.00    244.00      0.00      0.00   2328.00      0.00
07:08:25 PM     84.00      0.00     84.00      0.00      0.00   1008.00      0.00
07:08:26 PM    105.00      0.00    105.00      0.00      0.00   1336.00      0.00
07:08:27 PM    102.00      1.00    101.00      0.00     64.00   1680.00      0.00
07:08:28 PM    113.00      0.00    113.00      0.00      0.00  13832.00      0.00
07:08:29 PM    315.00      0.00    315.00      0.00      0.00   3288.00      0.00
07:08:30 PM    168.00      0.00    168.00      0.00      0.00   2072.00      0.00
07:08:31 PM    109.00      0.00    109.00      0.00      0.00   1264.00      0.00
07:08:32 PM    136.00      0.00    136.00      0.00      0.00   1328.00      0.00
07:08:33 PM    236.00      0.00    236.00      0.00      0.00  21928.00      0.00
07:08:34 PM    350.00      0.00    350.00      0.00      0.00   3968.00      0.00
07:08:35 PM     87.00      0.00     87.00      0.00      0.00   1008.00      0.00
07:08:36 PM    146.00      0.00    146.00      0.00      0.00   1520.00      0.00
07:08:37 PM    120.00      0.00    120.00      0.00      0.00   1208.00      0.00
07:08:38 PM    127.00      0.00    127.00      0.00      0.00   1312.00      0.00
07:08:39 PM    287.00      0.00    287.00      0.00      0.00   2880.00      0.00
07:08:40 PM     78.00      0.00     78.00      0.00      0.00    880.00      0.00
07:08:41 PM    130.00      0.00    130.00      0.00      0.00   1360.00      0.00
07:08:42 PM     80.00      0.00     80.00      0.00      0.00    960.00      0.00
07:08:43 PM    177.00      5.00    172.00      0.00    632.00   1984.00      0.00
07:08:44 PM     59.00      0.00     59.00      0.00      0.00    776.00      0.00
07:08:45 PM    232.00      1.00    231.00      0.00    176.00   2352.00      0.00
07:08:46 PM    192.00      0.00    192.00      0.00      0.00  14784.00      0.00
07:08:47 PM     77.00      0.00     77.00      0.00      0.00    856.00      0.00
07:08:48 PM     78.00      0.00     78.00      0.00      0.00    968.00      0.00
07:08:49 PM    164.00      0.00    164.00      0.00      0.00   1776.00      0.00
07:08:50 PM    241.00      0.00    241.00      0.00      0.00   2464.00      0.00
07:08:51 PM    239.00      0.00    239.00      0.00      0.00   2392.00      0.00
07:08:52 PM   1494.00      0.00   1494.00      0.00      0.00 102376.00      0.00
07:08:53 PM    115.00      0.00    115.00      0.00      0.00   1320.00      0.00
07:08:54 PM    178.00      0.00    178.00      0.00      0.00   2208.00      0.00
07:08:55 PM    102.00      0.00    102.00      0.00      0.00   1072.00      0.00
07:08:56 PM     86.00      0.00     86.00      0.00      0.00   1152.00      0.00
07:08:57 PM    149.00      0.00    149.00      0.00      0.00   1552.00      0.00
07:08:58 PM    106.00      0.00    106.00      0.00      0.00   1312.00      0.00
07:08:59 PM     85.00      0.00     85.00      0.00      0.00   1008.00      0.00
07:09:00 PM    102.00      0.00    102.00      0.00      0.00   1080.00      0.00
07:09:01 PM     89.00      0.00     89.00      0.00      0.00   1040.00      0.00
07:09:02 PM    115.00      0.00    115.00      0.00      0.00   1632.00      0.00
07:09:03 PM    342.00      0.00    342.00      0.00      0.00   3528.00      0.00
07:09:04 PM     97.00      0.00     97.00      0.00      0.00   1144.00      0.00
07:09:05 PM     80.00      0.00     80.00      0.00      0.00    920.00      0.00
07:09:06 PM    152.00      0.00    152.00      0.00      0.00   1880.00      0.00
07:09:07 PM     94.00      0.00     94.00      0.00      0.00    928.00      0.00
07:09:08 PM    243.00      0.00    243.00      0.00      0.00   2440.00      0.00
07:09:09 PM    158.00      0.00    158.00      0.00      0.00  14288.00      0.00
07:09:10 PM     88.00      0.00     88.00      0.00      0.00   1232.00      0.00
07:09:11 PM     95.00      0.00     95.00      0.00      0.00   1072.00      0.00
07:09:12 PM     46.00      0.00     46.00      0.00      0.00    488.00      0.00
07:09:13 PM    435.00      0.00    435.00      0.00      0.00  45168.00      0.00
07:09:14 PM    107.00      0.00    107.00      0.00      0.00   1208.00      0.00
07:09:15 PM    126.00      0.00    126.00      0.00      0.00   1688.00      0.00
07:09:16 PM    138.00      0.00    138.00      0.00      0.00   1384.00      0.00
07:09:17 PM    120.00      0.00    120.00      0.00      0.00   1240.00      0.00
07:09:18 PM    367.00      0.00    367.00      0.00      0.00  19344.00      0.00
07:09:19 PM    104.00      0.00    104.00      0.00      0.00   1016.00      0.00
07:09:20 PM    147.00      0.00    147.00      0.00      0.00   1864.00      0.00
07:09:21 PM    126.00      0.00    126.00      0.00      0.00   1448.00      0.00
07:09:22 PM    113.00      0.00    113.00      0.00      0.00   1184.00      0.00
07:09:23 PM    124.00      0.00    124.00      0.00      0.00   1688.00      0.00
07:09:24 PM    923.00      0.00    923.00      0.00      0.00  52904.00      0.00
07:09:25 PM    116.00      0.00    116.00      0.00      0.00   1400.00      0.00
07:09:26 PM    117.00      0.00    117.00      0.00      0.00   1288.00      0.00
07:09:27 PM    114.00      0.00    114.00      0.00      0.00   1520.00      0.00
07:09:28 PM    127.00      0.00    127.00      0.00      0.00   1296.00      0.00
07:09:29 PM    283.00      0.00    283.00      0.00      0.00   2640.00      0.00
07:09:30 PM    173.00      0.00    173.00      0.00      0.00   1584.00      0.00
07:09:31 PM    117.00      0.00    117.00      0.00      0.00   1376.00      0.00
07:09:32 PM    121.00      0.00    121.00      0.00      0.00   1360.00      0.00
07:09:33 PM     80.00      0.00     80.00      0.00      0.00    784.00      0.00
07:09:34 PM    270.00      0.00    270.00      0.00      0.00   2776.00      0.00
07:09:35 PM    105.00      0.00    105.00      0.00      0.00   1416.00      0.00
07:09:36 PM    164.00      0.00    164.00      0.00      0.00   2072.00      0.00
07:09:37 PM     99.00      0.00     99.00      0.00      0.00    960.00      0.00
07:09:38 PM    196.00      1.00    195.00      0.00      8.00  10968.00      0.00
07:09:39 PM    250.00      0.00    250.00      0.00      0.00  15032.00      0.00
07:09:40 PM    338.00      0.00    338.00      0.00      0.00   3600.00      0.00
07:09:41 PM    120.00      0.00    120.00      0.00      0.00   1496.00      0.00
07:09:42 PM     88.00      0.00     88.00      0.00      0.00   1016.00      0.00
07:09:43 PM     98.00      0.00     98.00      0.00      0.00   1488.00      0.00
07:09:44 PM    238.00      0.00    238.00      0.00      0.00  49088.00      0.00
07:09:45 PM    221.00      0.00    221.00      0.00      0.00   2328.00      0.00
07:09:46 PM    149.00      0.00    149.00      0.00      0.00   1616.00      0.00
07:09:47 PM     88.00      0.00     88.00      0.00      0.00    856.00      0.00
07:09:48 PM    114.00      0.00    114.00      0.00      0.00   1360.00      0.00
07:09:49 PM    144.00      0.00    144.00      0.00      0.00   1288.00      0.00
07:09:50 PM    263.00      0.00    263.00      0.00      0.00   2624.00      0.00
07:09:51 PM    127.00      0.00    127.00      0.00      0.00   1488.00      0.00
07:09:52 PM    183.00      3.00    180.00      0.00    408.00   2328.00      0.00
07:09:53 PM   1308.00      0.00   1308.00      0.00      0.00  75272.00      0.00
07:09:54 PM    162.00      0.00    162.00      0.00      0.00   1736.00      0.00
07:09:55 PM    110.00      0.00    110.00      0.00      0.00   1088.00      0.00
07:09:56 PM    142.00      0.00    142.00      0.00      0.00   2056.00      0.00
07:09:57 PM    145.00      0.00    145.00      0.00      0.00   1752.00      0.00
07:09:58 PM    284.00      0.00    284.00      0.00      0.00   3040.00      0.00
07:09:59 PM     59.00      0.00     59.00      0.00      0.00    960.00      0.00
07:10:00 PM    109.00      0.00    109.00      0.00      0.00   1384.00      0.00
07:10:01 PM     52.00      0.00     52.00      0.00      0.00    664.00      0.00
07:10:02 PM    110.00      0.00    110.00      0.00      0.00   1576.00      0.00
07:10:03 PM    256.00      0.00    256.00      0.00      0.00   2832.00      0.00
07:10:04 PM    235.00      0.00    235.00      0.00      0.00   2744.00      0.00
07:10:05 PM    143.00      0.00    143.00      0.00      0.00   1528.00      0.00
07:10:06 PM    105.00      0.00    105.00      0.00      0.00   1184.00      0.00
07:10:07 PM    177.00      0.00    177.00      0.00      0.00   2040.00      0.00
07:10:08 PM    417.00      1.00    416.00      0.00    136.00  21552.00      0.00
07:10:09 PM    206.00      0.00    206.00      0.00      0.00  14832.00      0.00
07:10:10 PM    237.00      0.00    237.00      0.00      0.00   2536.00      0.00
07:10:11 PM    169.00      0.00    169.00      0.00      0.00   1680.00      0.00
07:10:12 PM    134.00      0.00    134.00      0.00      0.00   1384.00      0.00
07:10:13 PM    354.00      0.00    354.00      0.00      0.00  46568.00      0.00
07:10:14 PM    179.00      0.00    179.00      0.00      0.00   1904.00      0.00
07:10:15 PM    141.00      0.00    141.00      0.00      0.00   1568.00      0.00
07:10:16 PM    175.00      0.00    175.00      0.00      0.00   1952.00      0.00
07:10:17 PM    143.00      1.00    142.00      0.00     40.00   1480.00      0.00
07:10:18 PM    526.00      0.00    526.00      0.00      0.00  18856.00      0.00
07:10:19 PM    224.00      0.00    224.00      0.00      0.00   2504.00      0.00
07:10:20 PM    228.00      0.00    228.00      0.00      0.00   2552.00      0.00
07:10:21 PM    229.00      0.00    229.00      0.00      0.00   2440.00      0.00
07:10:22 PM    181.00      0.00    181.00      0.00      0.00   1952.00      0.00
07:10:23 PM    796.00      0.00    796.00      0.00      0.00  28448.00      0.00
07:10:24 PM    378.00      0.00    378.00      0.00      0.00   3856.00      0.00
07:10:25 PM    210.00      0.00    210.00      0.00      0.00   2024.00      0.00
07:10:26 PM    228.00      0.00    228.00      0.00      0.00   2512.00      0.00
07:10:27 PM    114.00      0.00    114.00      0.00      0.00   1368.00      0.00
07:10:28 PM    149.00      0.00    149.00      0.00      0.00   1496.00      0.00
07:10:29 PM    126.00      0.00    126.00      0.00      0.00   1232.00      0.00
07:10:30 PM    268.00      0.00    268.00      0.00      0.00   2616.00      0.00
07:10:31 PM    133.00      0.00    133.00      0.00      0.00   1512.00      0.00
07:10:32 PM    135.00      0.00    135.00      0.00      0.00   1384.00      0.00
07:10:33 PM    242.00      0.00    242.00      0.00      0.00  11888.00      0.00
07:10:34 PM     98.00      0.00     98.00      0.00      0.00   1072.00      0.00
07:10:35 PM    275.00      0.00    275.00      0.00      0.00   2592.00      0.00
07:10:36 PM    188.00      0.00    188.00      0.00      0.00   1992.00      0.00
07:10:37 PM    147.00      0.00    147.00      0.00      0.00   1688.00      0.00
07:10:38 PM    149.00      0.00    149.00      0.00      0.00   1488.00      0.00
07:10:39 PM    487.00      0.00    487.00      0.00      0.00 120208.00      0.00
07:10:40 PM    341.00      0.00    341.00      0.00      0.00   3488.00      0.00
07:10:41 PM    251.00      0.00    251.00      0.00      0.00   2912.00      0.00
07:10:42 PM    143.00      0.00    143.00      0.00      0.00   1384.00      0.00
07:10:43 PM    126.00      0.00    126.00      0.00      0.00   1264.00      0.00
07:10:44 PM    118.00      0.00    118.00      0.00      0.00   1208.00      0.00
07:10:45 PM    454.00      0.00    454.00      0.00      0.00   4840.00      0.00
07:10:46 PM    120.00      0.00    120.00      0.00      0.00   1408.00      0.00
07:10:47 PM    103.00      0.00    103.00      0.00      0.00   1128.00      0.00
07:10:48 PM    175.00      0.00    175.00      0.00      0.00   1896.00      0.00
07:10:49 PM    244.00      0.00    244.00      0.00      0.00   2640.00      0.00
07:10:50 PM    133.00      0.00    133.00      0.00      0.00   1520.00      0.00
07:10:51 PM    175.00      1.00    174.00      0.00     56.00   1888.00      0.00
07:10:52 PM    176.00      0.00    176.00      0.00      0.00   1912.00      0.00
07:10:53 PM   1700.00      0.00   1700.00      0.00      0.00 122712.00      0.00
07:10:54 PM    121.00      0.00    121.00      0.00      0.00   1160.00      0.00
07:10:55 PM    151.00      0.00    151.00      0.00      0.00   1424.00      0.00
07:10:56 PM    214.00      0.00    214.00      0.00      0.00   2392.00      0.00
07:10:57 PM    139.00      0.00    139.00      0.00      0.00   1496.00      0.00
