# started_at=2025-12-14T01:53:18+03:00
# cmd: sar -B 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:54:16 AM      0.00    440.00 112287.00      0.00 108829.00      0.00      0.00      0.00      0.00
01:54:17 AM      0.00    588.00  79906.00      0.00  50633.00      0.00      0.00      0.00      0.00
01:54:18 AM      0.00    392.00 126771.00      0.00 155917.00      0.00      0.00      0.00      0.00
01:54:19 AM      0.00    600.00 122350.00      0.00  95607.00      0.00      0.00      0.00      0.00
01:54:20 AM      0.00    688.00 119842.00      0.00 115318.00      0.00      0.00      0.00      0.00
01:54:21 AM      0.00    444.00 100323.00      0.00 107511.00      0.00      0.00      0.00      0.00
01:54:22 AM      0.00    200.00 129969.00      0.00 124392.00      0.00      0.00      0.00      0.00
01:54:23 AM      0.00    692.00  92033.00      0.00 102014.00      0.00      0.00      0.00      0.00
01:54:24 AM      0.00    420.00 128461.00      0.00 306298.00      0.00      0.00      0.00      0.00
01:54:25 AM      0.00   1988.00 127968.00      0.00 130772.00      0.00      0.00      0.00      0.00
01:54:26 AM      0.00    468.00 103576.00      0.00 107357.00      0.00      0.00      0.00      0.00
01:54:27 AM      0.00    360.00 131289.00      0.00  87983.00      0.00      0.00      0.00      0.00
01:54:28 AM      0.00    380.00 115471.00      0.00 140973.00      0.00      0.00      0.00      0.00
01:54:29 AM      0.00    648.00 114588.00      0.00  82207.00      0.00      0.00      0.00      0.00
01:54:30 AM      0.00   7276.00 115238.00      0.00 193242.00      0.00      0.00      0.00      0.00
01:54:31 AM      0.00    340.00 107953.00      0.00  97882.00      0.00      0.00      0.00      0.00
01:54:32 AM      0.00    472.00 131189.00      0.00 100509.00      0.00      0.00      0.00      0.00
01:54:33 AM      0.00    520.00 121600.00      0.00 137478.00      0.00      0.00      0.00      0.00
01:54:34 AM      0.00    612.00 133114.00      0.00 108318.00      0.00      0.00      0.00      0.00
01:54:35 AM      0.00   5296.00 118523.00      0.00 122216.00      0.00      0.00      0.00      0.00
01:54:36 AM      0.00    804.00 111651.00      0.00 109935.00      0.00      0.00      0.00      0.00
01:54:37 AM      0.00    708.00 129745.00      0.00 121156.00      0.00      0.00      0.00      0.00
01:54:38 AM      0.00    640.00 137485.00      0.00 109206.00      0.00      0.00      0.00      0.00
01:54:39 AM      0.00    384.00 113251.00      0.00 142906.00      0.00      0.00      0.00      0.00
01:54:40 AM      0.00    388.00 140597.00      0.00 110621.00      0.00      0.00      0.00      0.00
01:54:41 AM      0.00    536.00 139495.00      0.00 130073.00      0.00      0.00      0.00      0.00
01:54:42 AM      0.00    616.00 115801.00      0.00 127557.00      0.00      0.00      0.00      0.00
01:54:43 AM      0.00    188.00 133826.00      0.00 118869.00      0.00      0.00      0.00      0.00
01:54:44 AM      0.00   7632.00 144328.00      0.00 110893.00      0.00      0.00      0.00      0.00
01:54:45 AM      0.00   2352.00 103815.00      0.00 122982.00      0.00      0.00      0.00      0.00
01:54:46 AM      0.00    660.00 121812.00      0.00 121732.00      0.00      0.00      0.00      0.00
01:54:47 AM      0.00    684.00 134476.00      0.00  99828.00      0.00      0.00      0.00      0.00
01:54:48 AM      0.00    544.00 108137.00      0.00 127259.00      0.00      0.00      0.00      0.00
01:54:49 AM      0.00    612.00 117027.00      0.00 122855.00      0.00      0.00      0.00      0.00
01:54:50 AM      0.00    512.00 140790.00      0.00 358510.00      0.00      0.00      0.00      0.00
01:54:51 AM      0.00  10836.00 108026.00      0.00 116604.00      0.00      0.00      0.00      0.00
01:54:52 AM      0.00    444.00 119974.00      0.00 117892.00      0.00      0.00      0.00      0.00
01:54:53 AM      0.00   1024.00 139339.00      0.00 112702.00      0.00      0.00      0.00      0.00
01:54:54 AM      0.00    300.00 121642.00      0.00 133953.00      0.00      0.00      0.00      0.00
01:54:55 AM      0.00   1324.00 100357.00      0.00  98003.00      0.00      0.00      0.00      0.00
01:54:56 AM      0.00   2540.00 135193.00      0.00 114667.00      0.00      0.00      0.00      0.00
01:54:57 AM      0.00    376.00 112842.00      0.00 103325.00      0.00      0.00      0.00      0.00
01:54:58 AM      0.00   1440.00 112755.00      0.00 116364.00      0.00      0.00      0.00      0.00
01:54:59 AM      0.00  13184.00 118352.00      0.00 129588.00      0.00      0.00      0.00      0.00
01:55:00 AM      0.00    748.00 126945.00      0.00 101578.00      0.00      0.00      0.00      0.00
01:55:01 AM      0.00    264.00  85469.00      0.00 100197.00      0.00      0.00      0.00      0.00
01:55:02 AM      0.00   1124.00 112877.00      0.00 102620.00      0.00      0.00      0.00      0.00
01:55:03 AM      0.00    592.00 121216.00      0.00 251621.00      0.00      0.00      0.00      0.00
01:55:04 AM      0.00    648.00 125090.00      0.00  87094.00      0.00      0.00      0.00      0.00
01:55:05 AM      0.00    732.00  97871.00      0.00 114759.00      0.00      0.00      0.00      0.00
01:55:06 AM      0.00    376.00  99111.00      0.00 105446.00      0.00      0.00      0.00      0.00
01:55:07 AM      0.00    488.00 114119.00      0.00 119389.00      0.00      0.00      0.00      0.00
01:55:08 AM      0.00    336.00 110263.00      0.00  77466.00      0.00      0.00      0.00      0.00
01:55:09 AM      0.00   3184.00 102780.00      0.00 110413.00      0.00      0.00      0.00      0.00
01:55:10 AM      0.00    328.00 129279.00      0.00 125405.00      0.00      0.00      0.00      0.00
01:55:11 AM      0.00    256.00  83337.00      0.00  58284.00      0.00      0.00      0.00      0.00
01:55:12 AM      0.00   1008.00 126293.00      0.00 153319.00      0.00      0.00      0.00      0.00
01:55:13 AM      0.00    272.00 128305.00      0.00  82074.00      0.00      0.00      0.00      0.00
01:55:14 AM      0.00   9684.00 126294.00      0.00 133657.00      0.00      0.00      0.00      0.00
01:55:15 AM      0.00    788.00 114452.00      0.00  89445.00      0.00      0.00      0.00      0.00
01:55:16 AM      0.00    420.00 103755.00      0.00 137184.00      0.00      0.00      0.00      0.00
01:55:17 AM      0.00    420.00 125642.00      0.00 118593.00      0.00      0.00      0.00      0.00
01:55:18 AM      0.00    676.00 112997.00      0.00 123724.00      0.00      0.00      0.00      0.00
01:55:19 AM      0.00    552.00 124734.00      0.00  77023.00      0.00      0.00      0.00      0.00
01:55:20 AM      0.00   1772.00 100081.00      0.00 113477.00      0.00      0.00      0.00      0.00
01:55:21 AM      0.00    608.00 134404.00      0.00 130263.00      0.00      0.00      0.00      0.00
01:55:22 AM      0.00    396.04 122883.17      0.00  95543.56      0.00      0.00      0.00      0.00
01:55:23 AM      0.00    520.00 128400.00      0.00 146175.00      0.00      0.00      0.00      0.00
01:55:24 AM      0.00   7472.00 101327.00      0.00 111596.00      0.00      0.00      0.00      0.00
01:55:25 AM      0.00    792.00 125390.00      0.00  89615.00      0.00      0.00      0.00      0.00
01:55:26 AM      0.00    260.00 112823.00      0.00 128829.00      0.00      0.00      0.00      0.00
01:55:27 AM      0.00    596.00 141081.00      0.00 112971.00      0.00      0.00      0.00      0.00
01:55:28 AM      0.00    344.00 116042.00      0.00  91566.00      0.00      0.00      0.00      0.00
01:55:29 AM      0.00    648.00 136721.00      0.00 149629.00      0.00      0.00      0.00      0.00
01:55:30 AM      0.00  11568.00 117207.00      0.00 118995.00      0.00      0.00      0.00      0.00
01:55:31 AM      0.00    576.00 115396.00      0.00  84773.00      0.00      0.00      0.00      0.00
01:55:32 AM      0.00    300.00 127388.00      0.00 134306.00      0.00      0.00      0.00      0.00
01:55:33 AM      0.00    888.00 106771.00      0.00 120258.00      0.00      0.00      0.00      0.00
01:55:34 AM      0.00    400.00 113816.00      0.00  87077.00      0.00      0.00      0.00      0.00
01:55:35 AM      0.00   1600.00 117660.00      0.00 121985.00      0.00      0.00      0.00      0.00
01:55:36 AM      0.00    488.00  76282.00      0.00 463974.00      0.00      0.00      0.00      0.00
01:55:37 AM      0.00    624.00 133507.00      0.00 134893.00      0.00      0.00      0.00      0.00
01:55:38 AM      0.00    560.00 126420.00      0.00 106927.00      0.00      0.00      0.00      0.00
01:55:39 AM      0.00    544.00 107505.00      0.00 123858.00      0.00      0.00      0.00      0.00
01:55:40 AM      0.00    800.00 113108.00      0.00 126007.00      0.00      0.00      0.00      0.00
01:55:41 AM      0.00   9476.00 128876.00      0.00  91752.00      0.00      0.00      0.00      0.00
01:55:42 AM      0.00    552.00  82719.00      0.00 115795.00      0.00      0.00      0.00      0.00
01:55:43 AM      0.00    472.00 140838.00      0.00 106183.00      0.00      0.00      0.00      0.00
01:55:44 AM      0.00    289.11 112942.57      0.00 100498.02      0.00      0.00      0.00      0.00
01:55:45 AM      0.00    956.00 120166.00      0.00 119500.00      0.00      0.00      0.00      0.00
01:55:46 AM      0.00    544.00 117917.00      0.00 109403.00      0.00      0.00      0.00      0.00
01:55:47 AM      0.00    644.00 114852.00      0.00  83129.00      0.00      0.00      0.00      0.00
01:55:48 AM      0.00    352.00 112008.00      0.00 160582.00      0.00      0.00      0.00      0.00
01:55:49 AM      0.00    488.00 102945.00      0.00  94509.00      0.00      0.00      0.00      0.00
01:55:50 AM      0.00   7240.00 116581.00      0.00 110890.00      0.00      0.00      0.00      0.00
01:55:51 AM      0.00   2020.00 126787.00      0.00  90885.00      0.00      0.00      0.00      0.00
01:55:52 AM      0.00    704.00 116948.00      0.00 116348.00      0.00      0.00      0.00      0.00
01:55:53 AM      0.00    500.00 113227.00      0.00 111280.00      0.00      0.00      0.00      0.00
01:55:54 AM      0.00    516.00 104168.00      0.00 101957.00      0.00      0.00      0.00      0.00
01:55:55 AM      0.00    456.00 113530.00      0.00  94936.00      0.00      0.00      0.00      0.00
01:55:56 AM      0.00   1404.00 118346.00      0.00 117334.00      0.00      0.00      0.00      0.00
01:55:57 AM      0.00    704.00 122590.00      0.00 129846.00      0.00      0.00      0.00      0.00
01:55:58 AM      0.00    492.00 108416.00      0.00 116022.00      0.00      0.00      0.00      0.00
01:55:59 AM      0.00  26440.00 122078.00      0.00  78937.00      0.00      0.00      0.00      0.00
01:56:00 AM      0.00    312.00 118975.00      0.00 371335.00      0.00      0.00      0.00      0.00
01:56:01 AM      0.00    604.00 121171.00      0.00 123635.00      0.00      0.00      0.00      0.00
01:56:02 AM      0.00    520.00 122538.00      0.00 136606.00      0.00      0.00      0.00      0.00
01:56:03 AM      0.00    340.00  92327.00      0.00 106246.00      0.00      0.00      0.00      0.00
01:56:04 AM      0.00   1236.00 140941.00      0.00 109876.00      0.00      0.00      0.00      0.00
01:56:05 AM      0.00    468.00 108909.00      0.00 100657.00      0.00      0.00      0.00      0.00
01:56:06 AM      0.00    448.00 116870.00      0.00 138120.00      0.00      0.00      0.00      0.00
01:56:07 AM      0.00    510.89 134654.46      0.00 101628.71      0.00      0.00      0.00      0.00
01:56:08 AM      0.00    268.00 111722.00      0.00 196811.00      0.00      0.00      0.00      0.00
01:56:09 AM      0.00   2804.00 122522.00      0.00 132068.00      0.00      0.00      0.00      0.00
01:56:10 AM      0.00    780.00 116124.00      0.00 125876.00      0.00      0.00      0.00      0.00
01:56:11 AM      0.00    252.00 104175.00      0.00  95697.00      0.00      0.00      0.00      0.00
01:56:12 AM      0.00    372.00 140058.00      0.00 116283.00      0.00      0.00      0.00      0.00
01:56:13 AM      0.00    448.00 102142.00      0.00 116356.00      0.00      0.00      0.00      0.00
01:56:14 AM      0.00    668.00 104981.00      0.00  90042.00      0.00      0.00      0.00      0.00
01:56:15 AM      0.00   1656.00 114228.00      0.00 105692.00      0.00      0.00      0.00      0.00
01:56:16 AM      0.00    740.00 105119.00      0.00 111973.00      0.00      0.00      0.00      0.00
01:56:17 AM      0.00    496.00 141986.00      0.00  98672.00      0.00      0.00      0.00      0.00
01:56:18 AM      0.00    276.00 107230.00      0.00  87345.00      0.00      0.00      0.00      0.00
01:56:19 AM      0.00   7848.00 128606.00      0.00 166289.00      0.00      0.00      0.00      0.00
01:56:20 AM      0.00   1544.00 113985.00      0.00 111373.00      0.00      0.00      0.00      0.00
01:56:21 AM      0.00    488.00 136944.00      0.00 122316.00      0.00      0.00      0.00      0.00
01:56:22 AM      0.00    764.00 139974.00      0.00 106529.00      0.00      0.00      0.00      0.00
01:56:23 AM      0.00    360.00  96134.00      0.00 121529.00      0.00      0.00      0.00      0.00
01:56:24 AM      0.00    444.00 112659.00      0.00 110653.00      0.00      0.00      0.00      0.00
01:56:25 AM      0.00    916.00 114992.00      0.00 102504.00      0.00      0.00      0.00      0.00
01:56:26 AM      0.00   1328.00 131512.00      0.00  93214.00      0.00      0.00      0.00      0.00
01:56:27 AM      0.00    552.00 118451.00      0.00 133849.00      0.00      0.00      0.00      0.00
01:56:28 AM      0.00    528.00 131561.00      0.00  97128.00      0.00      0.00      0.00      0.00
01:56:29 AM      0.00    652.00 108313.00      0.00 132008.00      0.00      0.00      0.00      0.00
01:56:30 AM      0.00  12880.00 116227.00      0.00 107415.00      0.00      0.00      0.00      0.00
01:56:31 AM      0.00    536.00 108351.00      0.00 121606.00      0.00      0.00      0.00      0.00
01:56:32 AM      0.00    856.00 120973.00      0.00 111244.00      0.00      0.00      0.00      0.00
01:56:33 AM      0.00    380.00 134315.00      0.00  92505.00      0.00      0.00      0.00      0.00
01:56:34 AM      0.00    384.00 111566.00      0.00 141494.00      0.00      0.00      0.00      0.00
01:56:35 AM      0.00  14580.00 108611.00      0.00  79598.00      0.00      0.00      0.00      0.00
01:56:36 AM      0.00   2692.00 124791.00      0.00 441783.00      0.00      0.00      0.00      0.00
01:56:37 AM      0.00    484.00 105580.00      0.00  85373.00      0.00      0.00      0.00      0.00
01:56:38 AM      0.00    388.00 115060.00      0.00 141455.00      0.00      0.00      0.00      0.00
01:56:39 AM      0.00    768.00 127291.00      0.00  98347.00      0.00      0.00      0.00      0.00
01:56:40 AM      0.00    832.00 120538.00      0.00 101348.00      0.00      0.00      0.00      0.00
01:56:41 AM      0.00   1980.00 121951.00      0.00 159234.00      0.00      0.00      0.00      0.00
01:56:42 AM      0.00    620.00 113524.00      0.00 107409.00      0.00      0.00      0.00      0.00
01:56:43 AM      0.00    324.00 135187.00      0.00 100605.00      0.00      0.00      0.00      0.00
01:56:44 AM      0.00    276.00 134073.00      0.00 143746.00      0.00      0.00      0.00      0.00
01:56:45 AM      0.00   1108.00 118387.00      0.00 105146.00      0.00      0.00      0.00      0.00
01:56:46 AM      0.00    772.00 139705.00      0.00 118856.00      0.00      0.00      0.00      0.00
01:56:47 AM      0.00    412.00 124111.00      0.00  99945.00      0.00      0.00      0.00      0.00
01:56:48 AM      0.00    756.00 109427.00      0.00 107649.00      0.00      0.00      0.00      0.00
01:56:49 AM      0.00    460.00 124173.00      0.00 269112.00      0.00      0.00      0.00      0.00
01:56:50 AM      0.00   7304.00 112119.00      0.00 108399.00      0.00      0.00      0.00      0.00
01:56:51 AM      0.00   1760.00 112966.00      0.00 101638.00      0.00      0.00      0.00      0.00
01:56:52 AM      0.00    672.00 111561.00      0.00 143720.00      0.00      0.00      0.00      0.00
01:56:53 AM      0.00    628.00 117445.00      0.00  60374.00      0.00      0.00      0.00      0.00
01:56:54 AM      0.00    460.00 138927.00      0.00 140815.00      0.00      0.00      0.00      0.00
01:56:55 AM      0.00    920.00 114802.00      0.00 115186.00      0.00      0.00      0.00      0.00
01:56:56 AM      0.00  13712.00 104261.00      0.00  99496.00      0.00      0.00      0.00      0.00
01:56:57 AM      0.00   1720.00 132864.00      0.00 238075.00      0.00      0.00      0.00      0.00
01:56:58 AM      0.00    712.00 135860.00      0.00 106627.00      0.00      0.00      0.00      0.00
01:56:59 AM      0.00  17084.00 109056.00      0.00 148268.00      0.00      0.00      0.00      0.00
01:57:00 AM      0.00    500.00 113736.00      0.00  90539.00      0.00      0.00      0.00      0.00
01:57:01 AM      0.00    628.00 156088.00      0.00 132641.00      0.00      0.00      0.00      0.00
01:57:02 AM      0.00    964.00 108406.00      0.00 118440.00      0.00      0.00      0.00      0.00
01:57:03 AM      0.00    404.00 115078.00      0.00  86842.00      0.00      0.00      0.00      0.00
01:57:04 AM      0.00    641.58 103550.50      0.00 103618.81      0.00      0.00      0.00      0.00
01:57:05 AM      0.00   1076.00 118865.00      0.00 139702.00      0.00      0.00      0.00      0.00
01:57:06 AM      0.00    400.00 106921.00      0.00  87049.00      0.00      0.00      0.00      0.00
01:57:07 AM      0.00    488.00 124237.00      0.00 126679.00      0.00      0.00      0.00      0.00
01:57:08 AM      0.00    280.00 125473.00      0.00  86093.00      0.00      0.00      0.00      0.00
01:57:09 AM      0.00    716.00 107916.00      0.00 121108.00      0.00      0.00      0.00      0.00
01:57:10 AM      0.00   2584.00 132107.00      0.00 135103.00      0.00      0.00      0.00      0.00
01:57:11 AM      0.00    536.00 113579.00      0.00 102883.00      0.00      0.00      0.00      0.00
01:57:12 AM      0.00    812.00 112759.00      0.00 116870.00      0.00      0.00      0.00      0.00
01:57:13 AM      0.00    412.00 118835.00      0.00  77060.00      0.00      0.00      0.00      0.00
01:57:14 AM      0.00    340.00 118049.00      0.00 123507.00      0.00      0.00      0.00      0.00
01:57:15 AM      0.00    848.00 104398.00      0.00 149159.00      0.00      0.00      0.00      0.00
01:57:16 AM      0.00    860.00 134507.00      0.00  92691.00      0.00      0.00      0.00      0.00
01:57:17 AM      0.00    432.00  81168.00      0.00 101365.00      0.00      0.00      0.00      0.00
01:57:18 AM      0.00    248.00 111559.00      0.00  92550.00      0.00      0.00      0.00      0.00
01:57:19 AM      0.00    860.00 130542.00      0.00  92842.00      0.00      0.00      0.00      0.00
01:57:20 AM      0.00  22416.00 117474.00      0.00 143864.00      0.00      0.00      0.00      0.00
01:57:21 AM      0.00    672.00 105710.00      0.00 365710.00      0.00      0.00      0.00      0.00
01:57:22 AM      0.00    592.00 110029.00      0.00 107591.00      0.00      0.00      0.00      0.00
01:57:23 AM      0.00    640.00 141848.00      0.00 133235.00      0.00      0.00      0.00      0.00
01:57:24 AM      0.00    424.00  90355.00      0.00 103523.00      0.00      0.00      0.00      0.00
01:57:25 AM      0.00   4532.00 123118.00      0.00  78396.00      0.00      0.00      0.00      0.00
01:57:26 AM      0.00    724.00 110334.00      0.00 147350.00      0.00      0.00      0.00      0.00
01:57:27 AM      0.00    524.00 115639.00      0.00  70346.00      0.00      0.00      0.00      0.00
01:57:28 AM      0.00    436.00 127374.00      0.00 133104.00      0.00      0.00      0.00      0.00
01:57:29 AM      0.00    456.00 123263.00      0.00  97899.00      0.00      0.00      0.00      0.00
01:57:30 AM      0.00   2352.00 120026.00      0.00 141375.00      0.00      0.00      0.00      0.00
01:57:31 AM      0.00    560.00 110859.00      0.00 110454.00      0.00      0.00      0.00      0.00
01:57:32 AM      0.00    444.00 118950.00      0.00 102633.00      0.00      0.00      0.00      0.00
01:57:33 AM      0.00    604.00 109750.00      0.00  90716.00      0.00      0.00      0.00      0.00
01:57:34 AM      0.00    512.00 133822.00      0.00 138605.00      0.00      0.00      0.00      0.00
01:57:35 AM      0.00   1596.00 131448.00      0.00  98926.00      0.00      0.00      0.00      0.00
01:57:36 AM      0.00    828.00 119825.00      0.00 128299.00      0.00      0.00      0.00      0.00
01:57:37 AM      0.00    880.00 118229.00      0.00 115329.00      0.00      0.00      0.00      0.00
01:57:38 AM      0.00    744.00 112200.00      0.00 294245.00      0.00      0.00      0.00      0.00
01:57:39 AM      0.00    676.00 122593.00      0.00 143229.00      0.00      0.00      0.00      0.00
01:57:40 AM      0.00    792.00 137116.00      0.00 111433.00      0.00      0.00      0.00      0.00
01:57:41 AM      0.00   2064.00 119466.00      0.00  98042.00      0.00      0.00      0.00      0.00
01:57:42 AM      0.00    708.00 118813.00      0.00 118370.00      0.00      0.00      0.00      0.00
01:57:43 AM      0.00    356.00 111752.00      0.00 116649.00      0.00      0.00      0.00      0.00
01:57:44 AM      0.00    488.00 124534.00      0.00 146697.00      0.00      0.00      0.00      0.00
01:57:45 AM      0.00  15028.00 134086.00      0.00 108620.00      0.00      0.00      0.00      0.00
01:57:46 AM      0.00   1924.00 127150.00      0.00  96339.00      0.00      0.00      0.00      0.00
01:57:47 AM      0.00    584.00 113730.00      0.00 119134.00      0.00      0.00      0.00      0.00
01:57:48 AM      0.00    300.00 106442.00      0.00 101086.00      0.00      0.00      0.00      0.00
01:57:49 AM      0.00    868.00 133563.00      0.00 137827.00      0.00      0.00      0.00      0.00
01:57:50 AM      0.00   7376.00 124041.00      0.00  89631.00      0.00      0.00      0.00      0.00
01:57:51 AM      0.00   4640.00 110912.00      0.00 120551.00      0.00      0.00      0.00      0.00
01:57:52 AM      0.00    976.00 128397.00      0.00 125316.00      0.00      0.00      0.00      0.00
01:57:53 AM      0.00    420.00 115483.00      0.00 115635.00      0.00      0.00      0.00      0.00
01:57:54 AM      0.00    376.00 111125.00      0.00 280955.00      0.00      0.00      0.00      0.00
01:57:55 AM      0.00   1140.00 123123.00      0.00 133266.00      0.00      0.00      0.00      0.00
01:57:56 AM      0.00    572.00 103177.00      0.00  83403.00      0.00      0.00      0.00      0.00
01:57:57 AM      0.00   1888.00 122620.00      0.00 125832.00      0.00      0.00      0.00      0.00
01:57:58 AM      0.00    864.00 138545.00      0.00  94409.00      0.00      0.00      0.00      0.00
01:57:59 AM      0.00   1460.00 110209.00      0.00  94477.00      0.00      0.00      0.00      0.00
01:58:00 AM      0.00  17248.00 101912.00      0.00 134686.00      0.00      0.00      0.00      0.00
01:58:01 AM      0.00    380.00 122825.00      0.00 129354.00      0.00      0.00      0.00      0.00
01:58:02 AM      0.00    716.00 132341.00      0.00 103496.00      0.00      0.00      0.00      0.00
01:58:03 AM      0.00    308.00 111433.00      0.00 144390.00      0.00      0.00      0.00      0.00
01:58:04 AM      0.00    428.00 124300.00      0.00  89391.00      0.00      0.00      0.00      0.00
01:58:05 AM      0.00   1720.00  98932.00      0.00  97695.00      0.00      0.00      0.00      0.00
01:58:06 AM      0.00   1236.00 139769.00      0.00  90459.00      0.00      0.00      0.00      0.00
01:58:07 AM      0.00    632.00 107026.00      0.00 118094.00      0.00      0.00      0.00      0.00
