# started_at=2025-12-14T01:53:18+03:00
# cmd: sar -b 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM       tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
01:54:15 AM   1204.00      0.00   1204.00      0.00      0.00  18744.00      0.00
01:54:16 AM     76.00      0.00     76.00      0.00      0.00   1000.00      0.00
01:54:17 AM     74.00      0.00     74.00      0.00      0.00   1056.00      0.00
01:54:18 AM     65.00      0.00     65.00      0.00      0.00    784.00      0.00
01:54:19 AM     83.00      0.00     83.00      0.00      0.00   1200.00      0.00
01:54:20 AM    105.00      0.00    105.00      0.00      0.00   1488.00      0.00
01:54:21 AM     46.00      0.00     46.00      0.00      0.00    776.00      0.00
01:54:22 AM     30.00      0.00     30.00      0.00      0.00    400.00      0.00
01:54:23 AM     81.00      0.00     81.00      0.00      0.00   1384.00      0.00
01:54:24 AM    409.00      0.00    409.00      0.00      0.00   4096.00      0.00
01:54:25 AM     60.00      0.00     60.00      0.00      0.00    744.00      0.00
01:54:26 AM     70.00      0.00     70.00      0.00      0.00    912.00      0.00
01:54:27 AM     58.00      0.00     58.00      0.00      0.00    928.00      0.00
01:54:28 AM     38.00      0.00     38.00      0.00      0.00    552.00      0.00
01:54:29 AM    104.00      0.00    104.00      0.00      0.00   1320.00      0.00
01:54:30 AM    967.00      0.00    967.00      0.00      0.00  14640.00      0.00
01:54:31 AM     45.00      0.00     45.00      0.00      0.00    568.00      0.00
01:54:32 AM     73.00      0.00     73.00      0.00      0.00    944.00      0.00
01:54:33 AM     45.00      0.00     45.00      0.00      0.00   1040.00      0.00
01:54:34 AM    108.00      0.00    108.00      0.00      0.00   1304.00      0.00
01:54:35 AM    754.00      0.00    754.00      0.00      0.00  10608.00      0.00
01:54:36 AM    126.00      0.00    126.00      0.00      0.00   1800.00      0.00
01:54:37 AM     84.00      0.00     84.00      0.00      0.00   1128.00      0.00
01:54:38 AM     97.00      0.00     97.00      0.00      0.00   1280.00      0.00
01:54:39 AM     58.00      0.00     58.00      0.00      0.00    944.00      0.00
01:54:40 AM     49.00      0.00     49.00      0.00      0.00    600.00      0.00
01:54:41 AM     85.00      0.00     85.00      0.00      0.00   1072.00      0.00
01:54:42 AM     84.00      0.00     84.00      0.00      0.00   1232.00      0.00
01:54:43 AM     32.00      0.00     32.00      0.00      0.00    424.00      0.00
01:54:44 AM    211.00      0.00    211.00      0.00      0.00  15216.00      0.00
01:54:45 AM    431.00      0.00    431.00      0.00      0.00   4704.00      0.00
01:54:46 AM     75.00      0.00     75.00      0.00      0.00   1320.00      0.00
01:54:47 AM    101.00      0.00    101.00      0.00      0.00   1368.00      0.00
01:54:48 AM     69.00      0.00     69.00      0.00      0.00   1088.00      0.00
01:54:49 AM    100.00      0.00    100.00      0.00      0.00   1224.00      0.00
01:54:50 AM     74.00      0.00     74.00      0.00      0.00   1024.00      0.00
01:54:51 AM   1269.61      0.00   1269.61      0.00      0.00  21247.06      0.00
01:54:52 AM     64.00      0.00     64.00      0.00      0.00    888.00      0.00
01:54:53 AM    139.00      0.00    139.00      0.00      0.00   2240.00      0.00
01:54:54 AM     42.00      0.00     42.00      0.00      0.00    432.00      0.00
01:54:55 AM     72.00      0.00     72.00      0.00      0.00   2840.00      0.00
01:54:56 AM    465.00      0.00    465.00      0.00      0.00   4904.00      0.00
01:54:57 AM     47.00      0.00     47.00      0.00      0.00    808.00      0.00
01:54:58 AM    608.00      0.00    608.00      0.00      0.00   7392.00      0.00
01:54:59 AM    760.00      0.00    760.00      0.00      0.00  21912.00      0.00
01:55:00 AM    102.00      0.00    102.00      0.00      0.00   1392.00      0.00
01:55:01 AM     49.00      0.00     49.00      0.00      0.00    680.00      0.00
01:55:02 AM    127.00      0.00    127.00      0.00      0.00   2048.00      0.00
01:55:03 AM    107.00      0.00    107.00      0.00      0.00   1272.00      0.00
01:55:04 AM    112.00      0.00    112.00      0.00      0.00   1304.00      0.00
01:55:05 AM     95.00      0.00     95.00      0.00      0.00   1368.00      0.00
01:55:06 AM     48.00      0.00     48.00      0.00      0.00    752.00      0.00
01:55:07 AM     71.00      0.00     71.00      0.00      0.00   1024.00      0.00
01:55:08 AM     36.00      0.00     36.00      0.00      0.00    624.00      0.00
01:55:09 AM    585.00      0.00    585.00      0.00      0.00   6368.00      0.00
01:55:10 AM     58.00      0.00     58.00      0.00      0.00    728.00      0.00
01:55:11 AM     32.00      0.00     32.00      0.00      0.00    464.00      0.00
01:55:12 AM    118.00      0.00    118.00      0.00      0.00   2016.00      0.00
01:55:13 AM     45.00      0.00     45.00      0.00      0.00    568.00      0.00
01:55:14 AM   1237.00      0.00   1237.00      0.00      0.00  19392.00      0.00
01:55:15 AM    122.00      0.00    122.00      0.00      0.00   1624.00      0.00
01:55:16 AM     44.00      0.00     44.00      0.00      0.00    840.00      0.00
01:55:17 AM     58.00      0.00     58.00      0.00      0.00    736.00      0.00
01:55:18 AM    103.00      0.00    103.00      0.00      0.00   1424.00      0.00
01:55:19 AM    391.00      0.00    391.00      0.00      0.00   3848.00      0.00
01:55:20 AM     64.00      0.00     64.00      0.00      0.00    848.00      0.00
01:55:21 AM     77.00      0.00     77.00      0.00      0.00   1232.00      0.00
01:55:22 AM     48.00      0.00     48.00      0.00      0.00    648.00      0.00
01:55:23 AM     80.00      0.00     80.00      0.00      0.00   1040.00      0.00
01:55:24 AM    213.00      0.00    213.00      0.00      0.00  14992.00      0.00
01:55:25 AM    112.00      0.00    112.00      0.00      0.00   1536.00      0.00
01:55:26 AM     37.00      0.00     37.00      0.00      0.00    544.00      0.00
01:55:27 AM     95.00      0.00     95.00      0.00      0.00   1168.00      0.00
01:55:28 AM     54.00      0.00     54.00      0.00      0.00    688.00      0.00
01:55:29 AM    109.00      0.00    109.00      0.00      0.00   1416.00      0.00
01:55:30 AM   1657.00      0.00   1657.00      0.00      0.00  23016.00      0.00
01:55:31 AM     75.00      0.00     75.00      0.00      0.00   1152.00      0.00
01:55:32 AM     59.00      0.00     59.00      0.00      0.00    688.00      0.00
01:55:33 AM     99.00      0.00     99.00      0.00      0.00   1688.00      0.00
01:55:34 AM     73.00      0.00     73.00      0.00      0.00    800.00      0.00
01:55:35 AM    305.00      0.00    305.00      0.00      0.00   3200.00      0.00
01:55:36 AM     72.00      0.00     72.00      0.00      0.00   1024.00      0.00
01:55:37 AM     95.00      0.00     95.00      0.00      0.00   1336.00      0.00
01:55:38 AM     73.00      0.00     73.00      0.00      0.00    984.00      0.00
01:55:39 AM     93.00      0.00     93.00      0.00      0.00   1296.00      0.00
01:55:40 AM     92.00      0.00     92.00      0.00      0.00   1392.00      0.00
01:55:41 AM    410.00      0.00    410.00      0.00      0.00  18952.00      0.00
01:55:42 AM     73.00      0.00     73.00      0.00      0.00   1104.00      0.00
01:55:43 AM     75.00      0.00     75.00      0.00      0.00   1056.00      0.00
01:55:44 AM     33.00      0.00     33.00      0.00      0.00    528.00      0.00
01:55:45 AM    170.00      0.00    170.00      0.00      0.00   1856.00      0.00
01:55:46 AM     92.00      0.00     92.00      0.00      0.00   1184.00      0.00
01:55:47 AM     95.00      0.00     95.00      0.00      0.00   1304.00      0.00
01:55:48 AM     47.00      0.00     47.00      0.00      0.00    616.00      0.00
01:55:49 AM     69.00      0.00     69.00      0.00      0.00    976.00      0.00
01:55:50 AM    158.00      0.00    158.00      0.00      0.00  14456.00      0.00
01:55:51 AM    391.00      0.00    391.00      0.00      0.00   4080.00      0.00
01:55:52 AM     83.00      0.00     83.00      0.00      0.00   1368.00      0.00
01:55:53 AM     82.00      0.00     82.00      0.00      0.00   1072.00      0.00
01:55:54 AM     34.00      0.00     34.00      0.00      0.00    960.00      0.00
01:55:55 AM     74.00      0.00     74.00      0.00      0.00    912.00      0.00
01:55:56 AM    275.00      0.00    275.00      0.00      0.00   2872.00      0.00
01:55:57 AM     99.00      0.00     99.00      0.00      0.00   1344.00      0.00
01:55:58 AM    131.00      0.00    131.00      0.00      0.00   1656.00      0.00
01:55:59 AM   2226.00      0.00   2226.00      0.00      0.00  52208.00      0.00
01:56:00 AM     50.00      0.00     50.00      0.00      0.00    720.00      0.00
01:56:01 AM     70.00      0.00     70.00      0.00      0.00   1136.00      0.00
01:56:02 AM     84.00      0.00     84.00      0.00      0.00   1016.00      0.00
01:56:03 AM     48.00      0.00     48.00      0.00      0.00    680.00      0.00
01:56:04 AM    195.00      0.00    195.00      0.00      0.00   2592.00      0.00
01:56:05 AM     44.00      0.00     44.00      0.00      0.00    816.00      0.00
01:56:06 AM     81.00      0.00     81.00      0.00      0.00   1112.00      0.00
01:56:07 AM     58.00      0.00     58.00      0.00      0.00    816.00      0.00
01:56:08 AM     40.00      0.00     40.00      0.00      0.00    592.00      0.00
01:56:09 AM    495.00      0.00    495.00      0.00      0.00   5552.00      0.00
01:56:10 AM    104.00      0.00    104.00      0.00      0.00   1560.00      0.00
01:56:11 AM     40.00      0.00     40.00      0.00      0.00    504.00      0.00
01:56:12 AM     54.00      0.00     54.00      0.00      0.00    744.00      0.00
01:56:13 AM     66.00      0.00     66.00      0.00      0.00    896.00      0.00
01:56:14 AM    147.00      0.00    147.00      0.00      0.00   2112.00      0.00
01:56:15 AM    274.00      0.00    274.00      0.00      0.00   2536.00      0.00
01:56:16 AM    102.00      0.00    102.00      0.00      0.00   1584.00      0.00
01:56:17 AM     68.00      0.00     68.00      0.00      0.00    936.00      0.00
01:56:18 AM     49.00      0.00     49.00      0.00      0.00    576.00      0.00
01:56:19 AM    251.00      0.00    251.00      0.00      0.00  15800.00      0.00
01:56:20 AM    300.00      0.00    300.00      0.00      0.00   2912.00      0.00
01:56:21 AM     77.00      0.00     77.00      0.00      0.00    976.00      0.00
01:56:22 AM    126.00      0.00    126.00      0.00      0.00   1528.00      0.00
01:56:23 AM     48.00      0.00     48.00      0.00      0.00    720.00      0.00
01:56:24 AM     70.00      0.00     70.00      0.00      0.00    952.00      0.00
01:56:25 AM    131.00      0.00    131.00      0.00      0.00   1864.00      0.00
01:56:26 AM    270.00      0.00    270.00      0.00      0.00   2560.00      0.00
01:56:27 AM     78.00      0.00     78.00      0.00      0.00   1104.00      0.00
01:56:28 AM     86.00      0.00     86.00      0.00      0.00   1080.00      0.00
01:56:29 AM     99.00      0.00     99.00      0.00      0.00   1304.00      0.00
01:56:30 AM   1298.00      0.00   1298.00      0.00      0.00  25736.00      0.00
01:56:31 AM     81.00      0.00     81.00      0.00      0.00   1072.00      0.00
01:56:32 AM     93.00      0.00     93.00      0.00      0.00   1712.00      0.00
01:56:33 AM     56.00      0.00     56.00      0.00      0.00    760.00      0.00
01:56:34 AM     57.00      0.00     57.00      0.00      0.00    768.00      0.00
01:56:35 AM    616.00      0.00    616.00      0.00      0.00  29232.00      0.00
01:56:36 AM    476.00      0.00    476.00      0.00      0.00   5312.00      0.00
01:56:37 AM     55.45      0.00     55.45      0.00      0.00    982.18      0.00
01:56:38 AM     61.00      0.00     61.00      0.00      0.00    800.00      0.00
01:56:39 AM    110.00      0.00    110.00      0.00      0.00   1488.00      0.00
01:56:40 AM    129.00      0.00    129.00      0.00      0.00   1776.00      0.00
01:56:41 AM    369.00      0.00    369.00      0.00      0.00   3848.00      0.00
01:56:42 AM     88.00      0.00     88.00      0.00      0.00   1304.00      0.00
01:56:43 AM     40.00      0.00     40.00      0.00      0.00    584.00      0.00
01:56:44 AM     37.00      0.00     37.00      0.00      0.00    560.00      0.00
01:56:45 AM    168.00      0.00    168.00      0.00      0.00   2208.00      0.00
01:56:46 AM    115.00      0.00    115.00      0.00      0.00   1544.00      0.00
01:56:47 AM     69.00      0.00     69.00      0.00      0.00   1008.00      0.00
01:56:48 AM     83.00      0.00     83.00      0.00      0.00   1328.00      0.00
01:56:49 AM     94.00      0.00     94.00      0.00      0.00   1168.00      0.00
01:56:50 AM    148.00      0.00    148.00      0.00      0.00  14360.00      0.00
01:56:51 AM    346.00      0.00    346.00      0.00      0.00   3784.00      0.00
01:56:52 AM     73.00      0.00     73.00      0.00      0.00   1080.00      0.00
01:56:53 AM     96.00      0.00     96.00      0.00      0.00   1352.00      0.00
01:56:54 AM     62.00      0.00     62.00      0.00      0.00    824.00      0.00
01:56:55 AM   1479.00      0.00   1479.00      0.00      0.00  28448.00      0.00
01:56:56 AM     81.00      0.00     81.00      0.00      0.00    960.00      0.00
01:56:57 AM    347.00      0.00    347.00      0.00      0.00   3400.00      0.00
01:56:58 AM    100.00      0.00    100.00      0.00      0.00   1320.00      0.00
01:56:59 AM   1506.00      0.00   1506.00      0.00      0.00  34168.00      0.00
01:57:00 AM     84.00      0.00     84.00      0.00      0.00   1064.00      0.00
01:57:01 AM     96.00      0.00     96.00      0.00      0.00   1264.00      0.00
01:57:02 AM    117.00      0.00    117.00      0.00      0.00   1904.00      0.00
01:57:03 AM     66.00      0.00     66.00      0.00      0.00    872.00      0.00
01:57:04 AM     95.00      0.00     95.00      0.00      0.00   1184.00      0.00
01:57:05 AM    119.00      0.00    119.00      0.00      0.00   2152.00      0.00
01:57:06 AM     57.00      0.00     57.00      0.00      0.00    800.00      0.00
01:57:07 AM     72.00      0.00     72.00      0.00      0.00    976.00      0.00
01:57:08 AM     42.00      0.00     42.00      0.00      0.00    560.00      0.00
01:57:09 AM    114.00      0.00    114.00      0.00      0.00   1456.00      0.00
01:57:10 AM    480.00      0.00    480.00      0.00      0.00   5144.00      0.00
01:57:11 AM     73.00      0.00     73.00      0.00      0.00   1096.00      0.00
01:57:12 AM    105.00      0.00    105.00      0.00      0.00   1600.00      0.00
01:57:13 AM     55.00      0.00     55.00      0.00      0.00    824.00      0.00
01:57:14 AM     50.00      0.00     50.00      0.00      0.00    680.00      0.00
01:57:15 AM    122.00      0.00    122.00      0.00      0.00   1696.00      0.00
01:57:16 AM    112.00      0.00    112.00      0.00      0.00   1720.00      0.00
01:57:17 AM     70.00      0.00     70.00      0.00      0.00    864.00      0.00
01:57:18 AM     44.00      0.00     44.00      0.00      0.00    560.00      0.00
01:57:19 AM    117.00      0.00    117.00      0.00      0.00   1680.00      0.00
01:57:20 AM   1924.00      0.00   1924.00      0.00      0.00  44808.00      0.00
01:57:21 AM     87.00      0.00     87.00      0.00      0.00   1344.00      0.00
01:57:22 AM    102.00      0.00    102.00      0.00      0.00   1400.00      0.00
01:57:23 AM     87.00      0.00     87.00      0.00      0.00   1064.00      0.00
01:57:24 AM     62.00      0.00     62.00      0.00      0.00    848.00      0.00
01:57:25 AM    503.00      0.00    503.00      0.00      0.00   9112.00      0.00
01:57:26 AM     94.00      0.00     94.00      0.00      0.00   1400.00      0.00
01:57:27 AM     69.00      0.00     69.00      0.00      0.00   1048.00      0.00
01:57:28 AM     67.00      0.00     67.00      0.00      0.00    920.00      0.00
01:57:29 AM     67.00      0.00     67.00      0.00      0.00    888.00      0.00
01:57:30 AM    440.00      0.00    440.00      0.00      0.00   4704.00      0.00
01:57:31 AM     77.00      0.00     77.00      0.00      0.00   1120.00      0.00
01:57:32 AM     61.00      0.00     61.00      0.00      0.00    864.00      0.00
01:57:33 AM     83.00      0.00     83.00      0.00      0.00   1208.00      0.00
01:57:34 AM     94.00      0.00     94.00      0.00      0.00   1048.00      0.00
01:57:35 AM    319.00      0.00    319.00      0.00      0.00   3240.00      0.00
01:57:36 AM    109.00      0.00    109.00      0.00      0.00   1608.00      0.00
01:57:37 AM    119.00      0.00    119.00      0.00      0.00   1760.00      0.00
01:57:38 AM     79.00      0.00     79.00      0.00      0.00   1536.00      0.00
01:57:39 AM    103.00      0.00    103.00      0.00      0.00   1376.00      0.00
01:57:40 AM    118.00      0.00    118.00      0.00      0.00   1488.00      0.00
01:57:41 AM    380.00      0.00    380.00      0.00      0.00   4200.00      0.00
01:57:42 AM    100.00      0.00    100.00      0.00      0.00   1392.00      0.00
01:57:43 AM     46.00      0.00     46.00      0.00      0.00    664.00      0.00
01:57:44 AM     62.00      0.00     62.00      0.00      0.00    976.00      0.00
01:57:45 AM   1378.00      0.00   1378.00      0.00      0.00  30056.00      0.00
01:57:46 AM    346.00      0.00    346.00      0.00      0.00   3848.00      0.00
01:57:47 AM     71.00      0.00     71.00      0.00      0.00   1168.00      0.00
01:57:48 AM     47.00      0.00     47.00      0.00      0.00    768.00      0.00
01:57:49 AM    123.00      0.00    123.00      0.00      0.00   1608.00      0.00
01:57:50 AM    200.00      0.00    200.00      0.00      0.00  14712.00      0.00
01:57:51 AM    533.00      0.00    533.00      0.00      0.00   9304.00      0.00
01:57:52 AM    132.00      0.00    132.00      0.00      0.00   1928.00      0.00
01:57:53 AM     56.00      0.00     56.00      0.00      0.00    864.00      0.00
01:57:54 AM     54.00      0.00     54.00      0.00      0.00    776.00      0.00
01:57:55 AM    136.00      0.00    136.00      0.00      0.00   2320.00      0.00
01:57:56 AM     81.00      0.00     81.00      0.00      0.00   1152.00      0.00
01:57:57 AM    365.00      0.00    365.00      0.00      0.00   3680.00      0.00
01:57:58 AM    128.00      0.00    128.00      0.00      0.00   1728.00      0.00
01:57:59 AM    270.00      0.00    270.00      0.00      0.00   2944.00      0.00
01:58:00 AM   1597.00      0.00   1597.00      0.00      0.00  34472.00      0.00
01:58:01 AM     49.00      0.00     49.00      0.00      0.00    760.00      0.00
01:58:02 AM    113.00      0.00    113.00      0.00      0.00   1432.00      0.00
01:58:03 AM     50.00      0.00     50.00      0.00      0.00    616.00      0.00
01:58:04 AM     75.00      0.00     75.00      0.00      0.00    960.00      0.00
01:58:05 AM    322.00      0.00    322.00      0.00      0.00   3336.00      0.00
01:58:06 AM    166.00      0.00    166.00      0.00      0.00   2472.00      0.00
01:58:07 AM     87.13      0.00     87.13      0.00      0.00   1370.30      0.00
01:58:08 AM     75.00      0.00     75.00      0.00      0.00   1024.00      0.00
01:58:09 AM     70.00      0.00     70.00      0.00      0.00   1080.00      0.00
01:58:10 AM    187.00      0.00    187.00      0.00      0.00   2592.00      0.00
01:58:11 AM     92.00      0.00     92.00      0.00      0.00   1288.00      0.00
01:58:12 AM     64.00      0.00     64.00      0.00      0.00    848.00      0.00
01:58:13 AM     67.00      0.00     67.00      0.00      0.00    920.00      0.00
01:58:14 AM    140.00      0.00    140.00      0.00      0.00   1960.00      0.00
01:58:15 AM    448.00      0.00    448.00      0.00      0.00   4784.00      0.00
01:58:16 AM     89.00      0.00     89.00      0.00      0.00   1312.00      0.00
01:58:17 AM    219.00      0.00    219.00      0.00      0.00   2296.00      0.00
01:58:18 AM     63.00      0.00     63.00      0.00      0.00    952.00      0.00
01:58:19 AM    110.00      0.00    110.00      0.00      0.00   1464.00      0.00
01:58:20 AM     99.00      0.00     99.00      0.00      0.00   1264.00      0.00
01:58:21 AM    107.00      0.00    107.00      0.00      0.00   1408.00      0.00
01:58:22 AM     62.00      0.00     62.00      0.00      0.00    832.00      0.00
01:58:23 AM     66.00      0.00     66.00      0.00      0.00    904.00      0.00
01:58:24 AM     63.00      0.00     63.00      0.00      0.00    904.00      0.00
01:58:25 AM    126.00      0.00    126.00      0.00      0.00   1792.00      0.00
01:58:26 AM     73.00      0.00     73.00      0.00      0.00    936.00      0.00
01:58:27 AM    404.00      0.00    404.00      0.00      0.00   4608.00      0.00
01:58:28 AM     60.00      0.00     60.00      0.00      0.00    656.00      0.00
01:58:29 AM     43.00      0.00     43.00      0.00      0.00    664.00      0.00
01:58:30 AM   1777.00      0.00   1777.00      0.00      0.00  53656.00      0.00
01:58:31 AM     53.00      0.00     53.00      0.00      0.00    704.00      0.00
01:58:32 AM    404.00      0.00    404.00      0.00      0.00   4568.00      0.00
01:58:33 AM     90.00      0.00     90.00      0.00      0.00   1384.00      0.00
01:58:34 AM     60.00      0.00     60.00      0.00      0.00    792.00      0.00
01:58:35 AM    125.00      0.00    125.00      0.00      0.00   1528.00      0.00
01:58:36 AM     77.00      0.00     77.00      0.00      0.00   1192.00      0.00
01:58:37 AM     57.00      0.00     57.00      0.00      0.00    752.00      0.00
01:58:38 AM     96.00      0.00     96.00      0.00      0.00   1336.00      0.00
01:58:39 AM     59.00      0.00     59.00      0.00      0.00    888.00      0.00
01:58:40 AM    103.00      0.00    103.00      0.00      0.00   1384.00      0.00
01:58:41 AM     66.00      0.00     66.00      0.00      0.00    960.00      0.00
01:58:42 AM    459.00      0.00    459.00      0.00      0.00   5456.00      0.00
01:58:43 AM     64.00      0.00     64.00      0.00      0.00    952.00      0.00
01:58:44 AM     97.00      0.00     97.00      0.00      0.00   1624.00      0.00
01:58:45 AM    130.00      0.00    130.00      0.00      0.00   1720.00      0.00
01:58:46 AM     76.00      0.00     76.00      0.00      0.00   1040.00      0.00
01:58:47 AM    295.00      0.00    295.00      0.00      0.00   2912.00      0.00
01:58:48 AM     61.00      0.00     61.00      0.00      0.00    864.00      0.00
01:58:49 AM    114.00      0.00    114.00      0.00      0.00   1472.00      0.00
01:58:50 AM     79.00      0.00     79.00      0.00      0.00   1072.00      0.00
01:58:51 AM   1502.00      0.00   1502.00      0.00      0.00  28104.00      0.00
01:58:52 AM     91.00      0.00     91.00      0.00      0.00   1320.00      0.00
01:58:53 AM    286.00      0.00    286.00      0.00      0.00   2912.00      0.00
01:58:54 AM     35.00      0.00     35.00      0.00      0.00    520.00      0.00
01:58:55 AM    138.00      0.00    138.00      0.00      0.00   1840.00      0.00
01:58:56 AM    552.00      0.00    552.00      0.00      0.00   9272.00      0.00
01:58:57 AM     53.00      0.00     53.00      0.00      0.00    792.00      0.00
01:58:58 AM     99.00      0.00     99.00      0.00      0.00   1536.00      0.00
01:58:59 AM     47.00      0.00     47.00      0.00      0.00    664.00      0.00
01:59:00 AM   1433.00      0.00   1433.00      0.00      0.00  30096.00      0.00
01:59:01 AM     84.00      0.00     84.00      0.00      0.00   1536.00      0.00
01:59:02 AM    204.00      0.00    204.00      0.00      0.00   2896.00      0.00
01:59:03 AM     75.00      0.00     75.00      0.00      0.00   1120.00      0.00
01:59:04 AM     42.00      0.00     42.00      0.00      0.00    584.00      0.00
01:59:05 AM    137.00      0.00    137.00      0.00      0.00   1880.00      0.00
01:59:06 AM    414.00      0.00    414.00      0.00      0.00   4296.00      0.00
01:59:07 AM     56.00      0.00     56.00      0.00      0.00    888.00      0.00
01:59:08 AM     48.00      0.00     48.00      0.00      0.00    648.00      0.00
01:59:09 AM     80.00      0.00     80.00      0.00      0.00   1112.00      0.00
01:59:10 AM     95.00      0.00     95.00      0.00      0.00   1560.00      0.00
01:59:11 AM    307.00      0.00    307.00      0.00      0.00   3000.00      0.00
01:59:12 AM    153.00      0.00    153.00      0.00      0.00   2064.00      0.00
01:59:13 AM     50.00      0.00     50.00      0.00      0.00    616.00      0.00
01:59:14 AM     64.00      0.00     64.00      0.00      0.00    904.00      0.00
01:59:15 AM    547.00      0.00    547.00      0.00      0.00   7712.00      0.00
01:59:16 AM   1092.00      0.00   1092.00      0.00      0.00  18968.00      0.00
01:59:17 AM    101.00      0.00    101.00      0.00      0.00   1608.00      0.00
01:59:18 AM     54.00      0.00     54.00      0.00      0.00    704.00      0.00
01:59:19 AM    122.00      0.00    122.00      0.00      0.00   1560.00      0.00
01:59:20 AM    120.00      0.00    120.00      0.00      0.00   1520.00      0.00
01:59:21 AM    387.00      0.00    387.00      0.00      0.00   3952.00      0.00
